epoch,lr,alpha_t,train_loss,train_top1,train_top5,hist_acc,hist_entropy,val_top1,val_top5,val_b1_top1,val_b2_top1,val_b3_top1
0,0.1,0.9,5.2226551489257815,5.864,20.696,100.0,0.0,8.81,30.93,8.34,8.23,8.36
1,0.1,0.8999753262144805,3.722713875198364,12.444,36.854,5.864,4.189235617828369,16.36,42.86,14.91,15.06,15.54
2,0.1,0.8999013075636805,3.3921034868621827,18.792,46.604,12.444,3.8986772678375243,22.36,51.48,20.72,21.3,21.81
3,0.1,0.8997779521645792,3.1381001628875733,23.686,54.382,18.798,3.6591036367034913,26.82,57.61,24.31,25.08,26.0
4,0.1,0.8996052735444863,2.8444748571014404,29.734,61.962,23.688,3.4430273526763915,27.23,58.93,25.44,26.15,26.94
5,0.1,0.8993832906395582,2.5485770974731445,35.724,69.024,29.732,3.197604420700073,35.36,69.11,32.51,33.21,34.1
6,0.1,0.8991120277927223,2.334062186355591,40.526,73.83,35.72,2.9274510695648193,30.98,61.75,28.41,29.35,30.15
7,0.1,0.8987915147510062,2.2034386612701415,43.686,76.952,40.53,2.7193531840515135,39.41,71.3,37.28,37.54,38.38
8,0.1,0.898421786662277,2.1019646199798583,46.37,78.628,43.682,2.584570150604248,45.45,77.66,42.65,43.63,44.43
9,0.1,0.8980028840713861,2.0371434204101564,48.062,80.034,46.374,2.4816644207763674,44.75,77.19,42.4,43.25,44.16
10,0.1,0.897534852915723,1.979055705871582,49.598,81.008,48.064,2.4160701341247557,45.86,77.82,43.48,44.45,45.18
11,0.1,0.8970177445201784,1.9446686066436767,50.278,81.574,49.6,2.358482808303833,45.71,76.13,41.74,43.26,44.53
12,0.1,0.8964516155915151,1.9071189374542237,51.59,82.236,50.28,2.3212094886779786,43.22,74.45,40.95,41.42,42.2
13,0.1,0.8958365282121497,1.87118745513916,52.432,82.838,51.586,2.28809122177124,49.62,81.07,46.84,48.05,48.77
14,0.1,0.8951725498333448,1.8437283792114258,52.984,83.412,52.434,2.2543784651184082,49.31,80.24,46.88,47.92,48.57
15,0.1,0.894459753267812,1.817943422088623,53.656,83.568,52.988,2.2308464238739014,47.06,78.11,46.56,46.89,47.05
16,0.1,0.8936982166817272,1.804788493232727,54.006,83.83,53.656,2.2075700510406495,49.75,80.26,46.88,47.8,48.95
17,0.1,0.8928880235861588,1.7847764994049071,54.836,84.198,54.016,2.193453568725586,50.96,81.36,47.79,49.01,50.16
18,0.1,0.89202926282791,1.7706404190063476,55.112,84.376,54.842,2.179359059677124,52.13,81.06,48.63,50.05,51.26
19,0.1,0.8911220285797748,1.7547210221099854,55.262,84.652,55.114,2.164028158569336,49.17,78.52,47.07,47.64,48.13
20,0.1,0.8901664203302125,1.7331917274475097,55.646,85.25,55.262,2.1540890227508545,48.33,78.53,46.69,47.42,48.1
21,0.1,0.8891625428724363,1.726313614654541,55.99,84.988,55.636,2.1409438395690916,46.96,78.49,44.87,45.43,46.12
22,0.1,0.8881105062929221,1.7075665407562255,56.454,85.488,55.998,2.13012297996521,48.44,78.56,46.28,47.11,48.07
23,0.1,0.8870104259593362,1.6978079602050782,56.68,85.394,56.452,2.1205991032791136,50.89,81.19,48.68,49.86,50.29
24,0.1,0.885862422507884,1.6878685997009277,56.934,85.67,56.684,2.1122220399856566,53.66,82.8,52.01,52.7,53.21
25,0.1,0.8846666218300807,1.6755055827331542,57.322,85.87,56.936,2.1046692642211915,53.27,82.84,51.31,51.91,52.52
26,0.1,0.8834231550589462,1.666690530166626,57.59,85.794,57.318,2.096872190513611,50.93,80.64,47.86,48.6,49.73
27,0.1,0.8821321585546243,1.6566610513305664,57.616,85.93,57.598,2.0935397399139406,48.33,78.23,45.35,46.27,47.4
28,0.1,0.8807937738894303,1.655189817047119,57.544,86.154,57.614,2.0847649772262575,54.85,84.07,52.23,53.05,54.04
29,0.1,0.8794081478323246,1.639320809020996,57.542,86.22,57.544,2.0895931455993653,50.31,80.4,47.07,48.08,49.06
30,0.1,0.8779754323328192,1.6305550099945068,58.0,86.366,57.54,2.079305743026733,50.29,79.84,47.74,48.65,49.28
31,0.1,0.8764957845043136,1.6236328400421143,58.098,86.334,57.994,2.0732098234176637,53.31,82.72,51.79,52.47,52.84
32,0.1,0.8749693666068664,1.6197026069259643,58.182,86.398,58.092,2.0726887683868407,41.99,72.82,40.84,41.1,41.6
33,0.1,0.8733963460294015,1.6031947229385377,58.584,86.502,58.176,2.069273883972168,54.24,83.39,51.49,52.48,53.23
34,0.1,0.8717768952713513,1.5941214139175415,58.512,86.484,58.582,2.0627619523239136,54.99,82.92,52.21,53.25,54.23
35,0.1,0.8701111919237408,1.595907555923462,58.614,86.504,58.512,2.055443204650879,50.43,80.0,47.15,48.21,49.31
36,0.1,0.8683994186497132,1.5780743843078613,58.962,86.714,58.616,2.061681409225464,51.41,81.13,49.44,50.11,51.04
37,0.1,0.8666417631644977,1.5807529170989991,58.62,86.744,58.964,2.054796483154297,48.32,78.36,45.78,46.74,47.48
38,0.1,0.8648384182148252,1.5668566452789308,58.878,86.848,58.622,2.0600865243530273,54.58,84.34,52.46,53.02,53.88
39,0.1,0.8629895815577915,1.5647931927490235,59.118,86.934,58.882,2.051732326049805,49.3,79.59,46.6,47.54,48.37
40,0.1,0.8610954559391704,1.5561954793167114,59.226,87.004,59.112,2.054431206474304,55.41,83.73,53.85,54.54,55.24
41,0.1,0.8591562490711809,1.5411272741699218,59.322,86.99,59.226,2.053201134109497,51.7,81.25,50.35,50.93,51.33
42,0.1,0.8571721736097089,1.5338082529449464,59.412,87.028,59.328,2.0448743206787108,52.8,81.03,49.5,50.73,51.9
43,0.1,0.8551434471309871,1.5344291604232787,59.194,87.132,59.41,2.0446565168762207,55.51,84.17,52.94,53.85,54.69
44,0.1,0.8530702921077358,1.5179681407546997,59.674,87.208,59.19,2.046572799606323,50.35,80.61,47.76,48.87,49.69
45,0.1,0.8509529358847655,1.5205348147583009,59.54,87.09,59.674,2.039646848297119,54.58,83.11,51.75,53.0,53.99
46,0.1,0.8487916106540466,1.5068388723754882,59.884,87.268,59.54,2.049216956253052,53.49,82.0,50.96,51.86,52.6
47,0.1,0.8465865534292465,1.5114189793395996,59.578,87.298,59.874,2.0440573273468017,48.7,78.41,45.8,46.36,47.64
48,0.1,0.8443380060197386,1.5045372405624389,59.522,87.29,59.568,2.052256360092163,56.0,83.81,52.88,53.73,55.09
49,0.1,0.8420462150040853,1.4867875936889647,60.102,87.364,59.516,2.0532524172210693,51.46,82.88,48.91,50.01,51.1
